time_tick,acc_X_value,acc_Y_value,acc_Z_value
10.396859,-11.121613,-0.817350,-2.801166
10.430152,-9.725894,-1.347086,-2.229231
10.463613,-8.072489,-1.700842,-1.877570
10.496812,-7.576123,-1.542519,-1.493736
10.530215,-7.103551,-1.234255,-1.377014
10.563537,-8.533988,-1.223481,-1.815169
10.596817,-9.874639,-1.149856,-0.849224
10.630205,-10.207145,-1.190110,-0.922698
10.663576,-11.382591,-1.180084,-1.542519
10.696858,-12.544119,-1.028646,-1.345889
10.730193,-13.003972,-1.136688,-1.008294
10.763533,-13.831348,-0.260379,-2.648979
10.796859,-14.439946,-1.518427,-2.407306
10.830215,-13.745453,-2.608576,-3.059001
10.863511,-13.134760,-1.486553,-2.613813
10.896858,-13.463825,0.163859,-1.893582
10.930199,-13.111266,0.903843,-2.422869
10.963602,-11.485096,1.047950,-3.667150
10.996822,-9.603336,1.323891,-2.938239
11.030055,-8.359803,1.402304,-2.736670
11.063967,-7.308711,1.569455,-2.869104
11.096864,-6.183396,1.739749,-2.442921
11.130153,-6.412799,1.708174,-1.819509
11.163555,-6.010708,1.506007,-1.665526
11.196827,-6.180703,1.724336,-1.990850
11.230214,-7.368868,2.124780,-1.526059
11.263522,-8.482959,2.349245,-1.832228
11.296861,-10.021439,2.309140,-1.980075
11.330209,-11.345629,3.016203,-2.159348
11.363490,-12.533046,2.704048,-2.110115
11.396850,-11.957070,0.690153,-1.909594
11.430230,-11.772860,0.320834,-2.953652
11.463491,-12.199941,-0.006734,-3.699024
11.496865,-12.729377,-0.737141,-3.008422
11.530192,-11.488837,-1.239493,-2.720658
11.563490,-9.679953,-1.493437,-2.481679
11.596793,-7.584204,-1.546410,-1.673756
11.630185,-7.176277,-1.394373,-0.723524
11.663474,-7.447729,-1.300846,-0.430373
11.696822,-9.521032,-1.778656,-0.398350
11.730192,-10.705007,-1.862905,-0.006135
11.763490,-10.988581,-1.775514,0.003292
11.796790,-12.473488,-1.243533,-1.327333
11.830157,-13.233075,-1.296357,-2.023921
11.863490,-12.605473,-1.065308,-2.130018
11.896829,-13.053654,-0.639125,-3.113172
11.930168,-12.924811,-1.684381,-2.803860
11.963595,-12.863757,-1.603275,-2.208281
11.996829,-13.491060,-0.350314,-2.702552
12.030199,-13.354735,0.328616,-3.052118
12.063524,-12.433683,0.448480,-4.349672
12.096774,-10.290048,0.714246,-4.752959
12.130346,-9.007308,1.057676,-4.289964
12.163390,-8.671210,1.326136,-3.186796
12.196864,-7.737438,1.633951,-2.032301
12.230200,-7.028580,1.803497,-1.822950
12.263490,-6.359975,1.984116,-1.978579
12.296859,-5.568513,1.849886,-1.486553
12.330191,-5.413034,1.978579,-1.385544
12.363482,-6.791246,2.450703,-1.122921
12.397096,-8.467995,2.146329,-0.909530
12.430156,-9.573258,2.310188,-1.284984
12.463513,-11.046193,2.743404,-1.624524
12.496859,-13.278567,1.902860,-1.521121
12.530156,-13.467865,0.980311,-1.705630
12.563527,-13.545979,0.272649,-3.281071
12.596816,-13.380474,-0.861345,-3.226003
12.630194,-12.678199,-1.637543,-2.708986
12.663346,-10.435800,-1.939073,-2.661400
12.696859,-7.810015,-1.620783,-2.240454
12.730190,-7.597672,-1.336611,-1.620184
12.763532,-7.282224,-1.092094,-0.790414
12.796800,-8.302939,-1.152700,-0.532130
12.830154,-9.421819,-1.317756,-0.403737
12.863491,-10.138908,-1.440613,-0.356150
12.896931,-11.661974,-1.196096,-0.439202
12.930191,-12.757211,-1.085061,-1.263884
12.963509,-13.357878,-1.122621,-1.891188
12.996837,-13.598055,-0.367673,-3.025032
13.030198,-14.051922,-0.963850,-3.332848
13.063490,-12.584822,-1.573496,-2.297767
13.096978,-11.861897,-0.733550,-2.619350
13.130142,-12.323097,0.652743,-3.049424
13.163549,-11.791116,1.076232,-3.311149
13.197008,-10.478598,0.947539,-3.784171
13.230180,-9.565626,0.672346,-3.386121
13.263488,-8.829682,0.598422,-2.889156
13.298213,-7.670548,0.971931,-2.566825
13.330148,-7.327417,1.272713,-2.223245
13.363511,-7.084995,1.380007,-1.833725
13.396832,-6.783913,1.464256,-1.959874
13.430157,-6.989672,1.645324,-1.493287
13.463512,-7.272946,1.941019,-1.240690
13.496817,-9.074797,2.192269,-1.291269
13.530159,-9.737117,1.509299,-1.194749
13.563530,-9.906213,1.816216,-1.214801
13.596907,-11.109642,1.565265,-1.061866
13.630158,-11.989842,0.945294,-0.701526
13.663516,-12.361405,0.626555,-1.577536
13.696788,-11.497068,0.390269,-3.237525
13.730143,-11.579671,-0.182115,-3.464982
13.763519,-10.943688,-1.076382,-2.686839
13.796837,-9.979688,-1.833725,-1.719248
13.830144,-8.262236,-2.083030,-0.741930
13.863524,-7.616527,-1.969750,-0.647804
13.896806,-8.149405,-1.707426,-0.825430
13.930157,-9.192866,-1.713561,-0.842639
13.963610,-9.854736,-1.705630,-0.159519
13.996825,-10.362924,-1.419812,-0.729060
14.030152,-11.075972,-1.019218,-1.700692
14.063535,-11.747420,-1.018320,-1.945059
14.096711,-13.201201,-0.216384,-2.169374
14.130136,-15.767279,-1.020565,-2.436187
14.164001,-14.252593,-2.404463,-1.827290
14.196841,-12.773522,-1.227371,-3.003184
14.230159,-12.441614,1.051691,-4.180575
14.263528,-12.197097,1.846444,-3.972272
14.296826,-11.505298,1.882658,-4.318695
14.330177,-9.750585,1.495232,-3.665953
14.363519,-8.448541,1.309076,-3.075761
14.396709,-7.563553,1.234704,-2.764205
14.430123,-6.952711,1.148061,-2.046816
14.463509,-7.060154,1.325088,-1.751720
14.496777,-6.945079,1.408439,-1.827889
14.530166,-7.151736,1.396169,-1.031938
14.563530,-8.343043,1.114092,-1.057976
14.596813,-10.407068,0.420197,-1.438368
14.630170,-11.444393,0.117619,-1.505857
14.663531,-11.234444,0.231797,-1.211659
14.697009,-10.785515,0.142310,-1.003955
14.730176,-10.623153,-1.286480,0.015114
14.763524,-8.788081,-2.097695,-1.319103
14.796804,-9.054296,-2.679956,-2.475244
14.830197,-10.787012,-3.925583,-0.124952
14.863496,-10.633329,-6.089720,-1.028496
14.896674,-11.764629,-8.140876,-0.628800
14.930230,-10.877247,-9.696713,-0.163410
14.963472,-11.444992,-9.714670,0.442345
14.996793,-11.931631,-9.233568,0.135577
15.030137,-12.967609,-8.461111,0.504746
15.063523,-12.931695,-7.591836,0.120014
15.096847,-13.093309,-5.784598,0.462546
15.130142,-12.360956,-4.735900,-0.286866
15.163513,-12.494139,-4.541215,1.780302
15.197705,-11.387529,-4.262879,1.100325
15.230259,-10.957605,-3.428769,-0.115524
15.263508,-10.564642,-1.687224,0.047736
15.296787,-10.097158,-2.016888,1.384497
15.330342,-7.840692,-2.026614,0.463444
15.363505,-7.118216,-1.323293,0.140964
15.396697,-6.023129,-2.169075,1.665526
15.430158,-3.401983,-2.487215,1.641583
15.463436,-2.575205,-2.382914,0.813160
15.496826,-3.173777,-3.461241,0.324276
15.530197,-2.087968,-4.255546,2.561588
15.563416,-4.268266,-3.116464,4.255247
15.596852,-4.054127,-3.184851,4.049338
15.630148,-3.864080,-2.681003,3.051519
15.663476,-2.132562,-2.394287,-0.304523
15.696824,-1.420411,-2.493201,0.387426
15.730238,-3.069626,-2.182093,2.500234
15.763454,-2.884069,-2.221599,1.688122
15.796807,-1.784791,-3.971075,3.165397
15.830131,-3.457051,-3.978856,7.098014
15.863464,-2.651374,-4.284726,6.131171
15.896819,-3.276881,-5.576145,7.345972
15.930136,-4.961711,-4.814163,9.361363
15.963401,-2.553507,-6.188783,9.891249
15.997009,-4.728268,-6.039889,10.866772
16.030140,-6.512910,-5.915236,11.029882
16.063468,-5.365597,-5.720999,10.636172
16.096877,-6.388856,-7.677132,14.207101
16.130140,-6.280664,-8.058871,16.149467
16.163585,-8.777457,-6.282161,17.081742
16.196907,-4.996129,-6.123389,11.396657
16.230155,-5.958184,-5.700947,12.157143
16.263481,-10.005127,-7.338939,16.759262
16.296923,-11.508291,-8.484755,14.549634
16.330169,-12.347040,-9.296418,10.911515
16.363476,-11.534778,-9.551111,12.402407
16.396836,-10.577212,-9.297167,12.333422
16.430195,-10.105987,-8.764288,12.356766
16.463484,-10.807064,-6.512311,11.928937
16.496840,-8.165118,-5.372182,6.190130
16.530186,-4.375410,-5.152207,3.441040
16.563482,-7.055066,-3.405574,6.176812
16.596819,-5.901768,-2.495895,3.259822
16.630158,-3.268950,-2.253174,1.590854
16.663479,-4.504103,-1.553593,5.133950
16.696825,-2.668583,-1.520372,0.745072
16.730147,-1.173201,-0.856856,1.780751
16.763564,-3.756188,-1.253110,5.509554
16.796829,0.117170,-1.987857,-0.358245
16.830142,1.431036,-2.121937,2.630424
16.863563,-2.299264,-1.550451,4.812517
16.896800,0.231348,-0.718585,3.933963
16.930140,2.842917,-0.818547,3.070973
16.963538,3.485783,-1.476826,3.716532
16.996804,1.903458,-1.899418,4.589848
17.030106,0.449976,-2.058339,5.331180
17.063571,-0.891124,-2.330240,4.491084
17.096809,1.095985,-3.213433,2.357026
17.130137,0.002544,-2.480930,2.497990
17.163570,-1.774017,-1.838663,3.958056
17.196816,-1.263735,-2.665440,3.748107
17.230157,-1.433729,-2.012548,2.381717
17.263567,-3.622407,-1.225426,3.207447
17.296809,-2.721856,-2.550215,4.940013
17.330209,-3.872161,-2.506968,5.446554
17.363767,-4.125057,-3.043588,5.747486
17.396815,-6.172023,-2.615310,8.431033
17.430084,-6.291887,-2.663046,10.443432
17.463498,-5.946212,-3.666402,11.700881
17.496833,-10.311596,-3.673585,14.891419
17.530251,-8.474130,-4.251206,15.576484
17.563471,-10.659217,-5.014834,15.139227
17.596813,-9.193614,-5.974495,18.279335
17.630139,-9.636108,-6.112465,19.998134
17.663465,-10.582899,-7.013466,19.749876
17.696937,-8.807834,-6.117404,18.779741
17.730142,-7.310657,-5.518682,16.414784
17.763489,-10.359332,-4.713454,17.696326
17.796790,-8.274058,-4.463849,15.812770
17.830136,-7.075119,-4.698938,11.852769
17.863420,-8.762941,-4.216040,14.149190
17.896718,-8.499570,-4.770916,12.104917
17.930137,-7.927934,-4.949291,8.650260
17.963455,-6.199109,-4.307921,6.700562
17.996731,-7.178223,-2.644939,6.036297
18.030196,-4.796505,-2.447560,2.964277
18.063459,-2.184637,-2.430052,3.728653
18.096785,-3.122749,-1.812475,2.335777
18.130107,-2.310487,-0.556971,3.938602
18.163461,-3.012612,-0.369768,4.720187
18.196772,0.843388,-0.537218,1.043311
